FCR_VelPath,CarProfile,Velocity,Translation,Rotation,Head_Z_Acceleration_abs_max,Head_X_Acceleration_abs_max,Head_Y_Acceleration_abs_max,Head_X_Acceleration_max_index,Head_Y_Acceleration_max_index,Head_Z_Acceleration_max_index,MaxAccel,MaxAccelIndex
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=0_pos=initial.txt,FCR,100,-200,0,36.081,7.578,17.539,58,163,63,36.516754154771206,63
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=120_pos=initial.txt,FCR,100,-200,120,103.348,179.802,54.333,110,109,121,203.43798073614474,110
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=150_pos=initial.txt,FCR,100,-200,150,74.161,77.655,72.795,126,127,124,117.16520962299346,127
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=180_pos=initial.txt,FCR,100,-200,180,35.33,13.216,13.956,205,27,67,36.40695746694579,67
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=210_pos=initial.txt,FCR,100,-200,210,42.322,138.277,19.926,114,121,128,139.139105739544,114
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=240_pos=initial.txt,FCR,100,-200,240,65.935,136.515,38.005,106,296,294,137.4132266523132,106
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=270_pos=initial.txt,FCR,100,-200,270,141.311,391.28,11.465,100,102,100,416.0203379187128,100
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=300_pos=initial.txt,FCR,100,-200,300,100.702,453.532,31.697,107,114,111,455.50635026638207,107
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=30_pos=initial.txt,FCR,100,-200,30,58.451,119.153,65.954,124,124,124,148.2021825952641,124
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=330_pos=initial.txt,FCR,100,-200,330,37.944,104.015,34.352,115,115,123,109.55304527488042,115
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=60_pos=initial.txt,FCR,100,-200,60,97.543,173.871,21.538,110,118,110,200.31478100729362,110
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=90_pos=initial.txt,FCR,100,-200,90,225.633,407.683,28.0,113,113,113,466.7972570377851,113
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=0_pos=initial.txt,FCR,100,-400,0,39.748,16.079,37.595,145,145,71,41.119094287204334,145
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=120_pos=initial.txt,FCR,100,-400,120,98.207,131.307,38.231,118,116,116,160.60047689530688,116
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=150_pos=initial.txt,FCR,100,-400,150,48.903,72.442,64.163,128,129,137,103.1836616669519,129
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=180_pos=initial.txt,FCR,100,-400,180,40.141,10.586,31.508,153,153,69,41.0727315624369,69
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=210_pos=initial.txt,FCR,100,-400,210,44.186,114.125,18.248,115,113,128,115.24426809607496,115
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=240_pos=initial.txt,FCR,100,-400,240,54.76,139.576,46.107,117,117,117,156.86291092861944,117
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=270_pos=initial.txt,FCR,100,-400,270,78.385,640.494,469.498,106,106,117,794.2382193246558,106
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=300_pos=initial.txt,FCR,100,-400,300,42.044,130.775,40.369,113,116,117,133.35060212087535,113
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=30_pos=initial.txt,FCR,100,-400,30,75.507,158.642,29.025,118,121,119,174.116237304279,118
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=330_pos=initial.txt,FCR,100,-400,330,40.298,105.245,41.45,116,116,124,114.2297734787214,116
