Id,Path,CarProfile,Velocity,Translation,Rotation,GifPath,Head_Collision_XYZ_index,Head_Collision_X,Head_Collision_Y,Head_Collision_Z,Front_Height,Hood_Front_Width,Hood_Back_Width,Hood_Length,Hood_Angle,Windscreen_Length,Windscreen_Angle
0,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=0_pos=initial.txt,FCR,100,-200,0,,164,975.24,-251.831,990.123,770,1160,1460,1070,11.0,816,30
1,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=120_pos=initial.txt,FCR,100,-200,120,,110,188.862,-205.223,1030.872,770,1160,1460,1070,11.0,816,30
2,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=150_pos=initial.txt,FCR,100,-200,150,,127,371.333,-266.905,1037.072,770,1160,1460,1070,11.0,816,30
3,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=180_pos=initial.txt,FCR,100,-200,180,,205,1395.245,-79.044,1009.817,770,1160,1460,1070,11.0,816,30
4,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=210_pos=initial.txt,FCR,100,-200,210,,114,284.273,-56.703,1024.811,770,1160,1460,1070,11.0,816,30
5,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=240_pos=initial.txt,FCR,100,-200,240,,106,111.454,-107.784,1016.62,770,1160,1460,1070,11.0,816,30
6,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=270_pos=initial.txt,FCR,100,-200,270,,100,152.65,-141.55,974.202,770,1160,1460,1070,11.0,816,30
7,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=300_pos=initial.txt,FCR,100,-200,300,,107,207.898,-235.43,957.895,770,1160,1460,1070,11.0,816,30
8,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=30_pos=initial.txt,FCR,100,-200,30,,125,364.347,-52.682,1033.387,770,1160,1460,1070,11.0,816,30
9,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=330_pos=initial.txt,FCR,100,-200,330,C:\Users\geork\projects\AIThesis\src\gifs\Q2_Type=FCR_Vel=100_tra=-200_rot=330_pos=initial.metadb.gif,115,256.894,-252.694,1029.648,770,1160,1460,1070,11.0,816,30
10,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=60_pos=initial.txt,FCR,100,-200,60,,110,196.851,-73.081,1030.693,770,1160,1460,1070,11.0,816,30
11,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=90_pos=initial.txt,FCR,100,-200,90,,113,200.583,-138.3,970.898,770,1160,1460,1070,11.0,816,30
12,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=0_pos=initial.txt,FCR,100,-400,0,,145,751.564,-447.335,997.02,770,1160,1460,1070,11.0,816,30
13,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=120_pos=initial.txt,FCR,100,-400,120,,118,188.055,-390.253,1022.752,770,1160,1460,1070,11.0,816,30
14,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=150_pos=initial.txt,FCR,100,-400,150,,128,330.283,-463.214,1043.453,770,1160,1460,1070,11.0,816,30
15,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=180_pos=initial.txt,FCR,100,-400,180,,154,904.096,-401.69,988.713,770,1160,1460,1070,11.0,816,30
16,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=210_pos=initial.txt,FCR,100,-400,210,,115,253.733,-243.97,1023.536,770,1160,1460,1070,11.0,816,30
17,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=240_pos=initial.txt,FCR,100,-400,240,,117,166.189,-271.794,976.138,770,1160,1460,1070,11.0,816,30
18,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=270_pos=initial.txt,FCR,100,-400,270,,106,183.077,-247.783,949.569,770,1160,1460,1070,11.0,816,30
19,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=300_pos=initial.txt,FCR,100,-400,300,,113,133.684,-370.818,981.209,770,1160,1460,1070,11.0,816,30
20,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=30_pos=initial.txt,FCR,100,-400,30,,118,341.002,-303.469,1024.182,770,1160,1460,1070,11.0,816,30
21,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=330_pos=initial.txt,FCR,100,-400,330,,116,228.261,-406.837,1034.018,770,1160,1460,1070,11.0,816,30
22,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=60_pos=initial.txt,FCR,100,-400,60,,115,204.818,-247.817,1038.807,770,1160,1460,1070,11.0,816,30
23,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=90_pos=initial.txt,FCR,100,-400,90,C:\Users\geork\projects\AIThesis\src\gifs\Q6_Type=FCR_Vel=100_tra=-400_rot=90_pos=initial.metadb.gif,118,234.528,-287.215,969.21,770,1160,1460,1070,11.0,816,30
24,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=0_pos=initial.txt,FCR,100,0,0,,156,967.769,48.899,994.953,770,1160,1460,1070,11.0,816,30
25,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=120_pos=initial.txt,FCR,100,0,120,,111,192.517,-37.846,1033.252,770,1160,1460,1070,11.0,816,30
26,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=150_pos=initial.txt,FCR,100,0,150,,125,365.782,-61.374,1036.303,770,1160,1460,1070,11.0,816,30
27,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=180_pos=initial.txt,FCR,100,0,180,,158,953.946,65.83,985.639,770,1160,1460,1070,11.0,816,30
28,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=210_pos=initial.txt,FCR,100,0,210,,113,260.777,140.303,1025.01,770,1160,1460,1070,11.0,816,30
29,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=240_pos=initial.txt,FCR,100,0,240,,106,105.942,74.298,1021.541,770,1160,1460,1070,11.0,816,30
30,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=270_pos=initial.txt,FCR,100,0,270,,101,99.23,39.264,1000.031,770,1160,1460,1070,11.0,816,30
31,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=0_rot=300_pos=initial.txt,FCR,100,0,300,,105,110.862,5.882,1020.096,770,1160,1460,1070,11.0,816,30
