Id,Path,CarProfile,Velocity,Translation,Rotation,GifPath,Head_Collision_XYZ_index,Head_Collision_X,Head_Collision_Y,Head_Collision_Z,Front_Height,Hood_Front_Width,Hood_Back_Width,Hood_Length,Hood_Angle,Windscreen_Length,Windscreen_Angle
9,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=330_pos=initial.txt,FCR,100,-200,330,C:\Users\geork\projects\AIThesis\src\gifs\Q2_Type=FCR_Vel=100_tra=-200_rot=330_pos=initial.metadb.gif,115,256.894,-252.694,1029.648,770,1160,1460,1070,11.0,816,30
23,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=90_pos=initial.txt,FCR,100,-400,90,C:\Users\geork\projects\AIThesis\src\gifs\Q6_Type=FCR_Vel=100_tra=-400_rot=90_pos=initial.metadb.gif,118,234.528,-287.215,969.21,770,1160,1460,1070,11.0,816,30
55,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=60_pos=initial.txt,FCR,100,400,60,C:\Users\geork\projects\AIThesis\src\gifs\Q4_Type=FCR_Vel=100_tra=400_rot=60_pos=initial.metadb.gif,118,173.863,447.64,1028.709,770,1160,1460,1070,11.0,816,30
66,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=330_pos=initial.txt,FCR,20,-200,330,C:\Users\geork\projects\AIThesis\src\gifs\Q2_Type=FCR_Vel=20_tra=-200_rot=330_pos=initial.metadb.gif,114,252.56,-252.309,1029.179,770,1160,1460,1070,11.0,816,30
108,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=180_pos=initial.txt,FCR,20,400,180,C:\Users\geork\projects\AIThesis\src\gifs\Q2_Type=FCR_Vel=20_tra=400_rot=180_pos=initial.metadb.gif,158,797.761,583.819,1004.925,770,1160,1460,1070,11.0,816,30
115,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=60_pos=initial.txt,FCR,20,400,60,C:\Users\geork\projects\AIThesis\src\gifs\Q4_Type=FCR_Vel=20_tra=400_rot=60_pos=initial.metadb.gif,118,161.499,453.651,1043.052,770,1160,1460,1070,11.0,816,30
123,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=270_pos=initial.txt,FCR,40,-200,270,C:\Users\geork\projects\AIThesis\src\gifs\Q5_Type=FCR_Vel=40_tra=-200_rot=270_pos=initial.metadb.gif,102,112.576,-123.346,990.655,770,1160,1460,1070,11.0,816,30
155,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=200_rot=210_pos=initial.txt,FCR,40,200,210,C:\Users\geork\projects\AIThesis\src\gifs\Q3_Type=FCR_Vel=40_tra=200_rot=210_pos=initial.metadb.gif,116,258.731,336.52,1030.85,770,1160,1460,1070,11.0,816,30
166,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=400_rot=180_pos=initial.txt,FCR,40,400,180,C:\Users\geork\projects\AIThesis\src\gifs\Q1_Type=FCR_Vel=40_tra=400_rot=180_pos=initial.metadb.gif,144,668.159,538.34,1000.96,770,1160,1460,1070,11.0,816,30
271,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=80_tra=200_rot=150_pos=initial.txt,FCR,80,200,150,C:\Users\geork\projects\AIThesis\src\gifs\Q4_Type=FCR_Vel=80_tra=200_rot=150_pos=initial.metadb.gif,122,339.807,145.89,1032.791,770,1160,1460,1070,11.0,816,30
