,Path,CarProfile,Velocity,Translation,Rotation,Position,HIC15_max,HIC36_max,Head_Z_Acceleration_abs_max,Head_X_Acceleration_abs_max,Head_Y_Acceleration_abs_max,BrIC_abs_max,Chest_Resultant_Acceleration_max,Chest_Resultant_Acceleration_CLIP3ms_max
0,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=0_pos=initial.txt,FCR,100,-200,0,initial,86.843,136.373,36.081,7.578,17.539,0.92,34.882,28.117
1,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=120_pos=initial.txt,FCR,100,-200,120,initial,2361.697,2866.369,103.348,179.802,54.333,1.718,36.302,19.45
2,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=150_pos=initial.txt,FCR,100,-200,150,initial,573.455,573.455,74.161,77.655,72.795,0.936,24.091,19.183
3,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=180_pos=initial.txt,FCR,100,-200,180,initial,84.702,153.528,35.33,13.216,13.956,0.905,49.501,28.255
4,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=210_pos=initial.txt,FCR,100,-200,210,initial,592.965,592.965,42.322,138.277,19.926,0.965,25.42,18.131
5,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=240_pos=initial.txt,FCR,100,-200,240,initial,1235.194,1235.194,65.935,136.515,38.005,1.127,40.085,30.059
6,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=270_pos=initial.txt,FCR,100,-200,270,initial,6257.955,6257.955,141.311,391.28,11.465,1.543,69.245,35.402
7,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=300_pos=initial.txt,FCR,100,-200,300,initial,4974.677,4974.677,100.702,453.532,31.697,1.193,50.792,43.538
8,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=30_pos=initial.txt,FCR,100,-200,30,initial,775.362,775.362,58.451,119.153,65.954,0.929,25.538,18.412
9,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=330_pos=initial.txt,FCR,100,-200,330,initial,440.203,440.203,37.944,104.015,34.352,1.176,24.579,18.154
10,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=60_pos=initial.txt,FCR,100,-200,60,initial,2078.715,2755.998,97.543,173.871,21.538,1.751,33.644,23.528
11,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=90_pos=initial.txt,FCR,100,-200,90,initial,6123.994,6123.994,225.633,407.683,28.0,1.872,89.381,26.669
12,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=0_pos=initial.txt,FCR,100,-400,0,initial,102.336,150.688,39.748,16.079,37.595,0.848,33.321,30.86
13,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=120_pos=initial.txt,FCR,100,-400,120,initial,1675.188,2090.251,98.207,131.307,38.231,1.518,32.554,30.113
14,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=150_pos=initial.txt,FCR,100,-400,150,initial,534.327,534.327,48.903,72.442,64.163,0.945,29.393,22.257
15,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=180_pos=initial.txt,FCR,100,-400,180,initial,91.046,152.027,40.141,10.586,31.508,0.856,50.186,34.052
16,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=210_pos=initial.txt,FCR,100,-400,210,initial,755.994,755.994,44.186,114.125,18.248,0.882,26.076,18.925
