Path,CarProfile,Velocity,Translation,Rotation,Head_Z_Acceleration_abs_max,Head_X_Acceleration_abs_max,Head_Y_Acceleration_abs_max,Max_Z_Acceleration,Min_Z_Acceleration,Max_Z_Acceleration_Index,Min_Z_Acceleration_Index
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=0_pos=initial.txt,FCR,100,-200,0,36.081,7.578,17.539,36.081,-9.191,63,32
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=120_pos=initial.txt,FCR,100,-200,120,103.348,179.802,54.333,103.348,-29.596,121,124
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=150_pos=initial.txt,FCR,100,-200,150,74.161,77.655,72.795,74.161,-10.506,124,161
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=180_pos=initial.txt,FCR,100,-200,180,35.33,13.216,13.956,35.33,-7.996,67,33
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=210_pos=initial.txt,FCR,100,-200,210,42.322,138.277,19.926,42.322,-24.955,128,125
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=240_pos=initial.txt,FCR,100,-200,240,65.935,136.515,38.005,38.034,-65.935,53,294
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=270_pos=initial.txt,FCR,100,-200,270,141.311,391.28,11.465,64.859,-141.311,103,100
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=300_pos=initial.txt,FCR,100,-200,300,100.702,453.532,31.697,48.792,-100.702,95,111
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=30_pos=initial.txt,FCR,100,-200,30,58.451,119.153,65.954,58.451,-14.619,124,209
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=330_pos=initial.txt,FCR,100,-200,330,37.944,104.015,34.352,37.944,-13.694,123,167
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=60_pos=initial.txt,FCR,100,-200,60,97.543,173.871,21.538,97.543,-29.608,110,124
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=90_pos=initial.txt,FCR,100,-200,90,225.633,407.683,28.0,225.633,-53.629,113,118
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=0_pos=initial.txt,FCR,100,-400,0,39.748,16.079,37.595,39.748,-10.427,71,275
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=120_pos=initial.txt,FCR,100,-400,120,98.207,131.307,38.231,98.207,-21.34,116,279
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=150_pos=initial.txt,FCR,100,-400,150,48.903,72.442,64.163,48.903,-20.361,137,154
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=180_pos=initial.txt,FCR,100,-400,180,40.141,10.586,31.508,40.141,-18.565,69,219
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=210_pos=initial.txt,FCR,100,-400,210,44.186,114.125,18.248,29.428,-44.186,68,128
